"","sampleCode","sampleCode.y","speciesCode","Plot.x","binomial","family","genus","plot_Binomial","Plot.y","Binomial","Abundance","MW","nAtom","naAromAtom","nAtomLC","nAtomP","nB","nAromBond","nRotB","XLogP","ALogP","MLogP","TopoPSA","tpsaEfficiency","HybRatio","Fsp3","FMF","ECCEN","WPATH","WPOL","nHBDon","nHBAcc"
"PP_Tapuri_45_Myrsine coriacea","MDP0617","MDP0617.mzXML","myr8cor","PP_Tapuri_45","Myrsine coriacea","Primulaceae","Myrsine","PP_Tapuri_45_Myrsine coriacea","PP_Tapuri_45","Myrsine coriacea",23,371.768000287874,50.325826584312,9.0586073990179,5.35735037937929,14.1825681492609,28.3208002828332,9.49714725369876,5.79000835570427,3.51463863755726,2.77998653071235,2.86161800944747,118.851284772091,0.338785232859143,0.401202549975674,0.400187616011675,0.313660396669492,607.682880944811,2303.71175949129,45.3795188773345,3.7498848137072,5.97092966957872
"PP_Tapuri_45_Weinmannia balbisiana","MDP0632","MDP0632.mzXML","weibal","PP_Tapuri_45","Weinmannia balbisiana","Cunoniaceae","Weinmannia","PP_Tapuri_45_Weinmannia balbisiana",NA,NA,0,324.737039762091,37.1696369501259,12.6479069889813,0.790364984781007,14.4500345093747,25.5266880436584,13.056101571584,2.15264109126677,2.01702013834418,1.80299946533336,2.43871289664036,126.424615679042,0.395165509697037,0.153014836879975,0.152983746710125,0.455010301982998,431.022719908564,1381.8085053346,41.9474980901827,4.36962962603188,5.96109987016417
"PP_Tapuri_45_Hieronyma fendleri","MDP0609","MDP0609.mzXML","hiefen","PP_Tapuri_45","Hieronyma fendleri","Phyllanthaceae","Hieronyma","PP_Tapuri_45_Hieronyma fendleri","PP_Tapuri_45","Hieronyma fendleri",22,415.734208042592,53.9505258274857,13.8473508696005,5.00111195770089,19.3050637010883,32.3805323356897,14.6014795364955,6.41620294866955,4.45283159241073,3.48118379545203,3.0429836306841,129.237140934211,0.310941559716338,0.382739301170907,0.382079994122249,0.341751594776288,753.700742077106,3000.77150219419,51.65633496017,3.88967360511429,6.40150634237502
"PP_Tapuri_45_Weinmannia AF-19282","MDP0631","MDP0631.mzXML","weiAF19282","PP_Tapuri_45","Weinmannia AF-19282","Cunoniaceae","Weinmannia","PP_Tapuri_45_Weinmannia AF-19282",NA,NA,1,389.789813079739,48.7610633789886,11.5011736123459,3.47842488245846,16.6356559223277,30.1030822905927,11.9866486812255,5.37265288207949,3.09647726950144,2.78616271951691,2.77655802534511,128.783714575204,0.351663407020542,0.2499567599816,0.248868097338487,0.383261747557013,626.686337782103,2478.74396643271,48.260235403729,3.21672743180423,6.22137860773803
"PP_Tapuri_45_Clusia sphaerocarpa","MDP0606","MDP0606.mzXML","clusph","PP_Tapuri_45","Clusia sphaerocarpa","Clusiaceae","Clusia","PP_Tapuri_45_Clusia sphaerocarpa","PP_Tapuri_45","Clusia sphaerocarpa",3,416.713914826251,52.2738510607981,14.8240134343235,3.47829876890698,14.4614048332925,33.014007130214,15.2380803762982,4.94435063144736,3.70067594076885,3.55513771450499,3.04527128323564,133.806473062654,0.331603634826085,0.234965637993455,0.234457447260847,0.426309652614026,745.211703704338,3079.55975718397,53.4210073771933,4.5160633253562,6.2479300800576
"PP_Tapuri_45_Clethra peruviana","MDP0604","MDP0604.mzXML","cle3per","PP_Tapuri_45","Clethra peruviana","Clethraceae","Clethra","PP_Tapuri_45_Clethra peruviana","PP_Tapuri_45","Clethra peruviana",27,417.305276620513,54.45013643384,12.650853405407,3.5844683166243,12.6723598352392,32.7886817635955,13.0384766797024,4.58810630730604,3.56564317403963,3.03365444219186,3.0015932979312,141.055066046448,0.340595224902947,0.323625969455817,0.323625969455817,0.395740540933365,703.498048140509,2930.1145595936,55.33679037627,5.22002459916411,6.71030482163693
"PP_Tapuri_45_Tibouchina bicolor","MDP0630","MDP0630.mzXML","tibbic","PP_Tapuri_45","Tibouchina bicolor","Melastomataceae","Tibouchina","PP_Tapuri_45_Tibouchina bicolor","PP_Tapuri_45","Tibouchina bicolor",1,375.410430576724,51.6652180998582,9.63145904445924,3.48222646290348,13.3773636040189,29.3393732000146,10.0857299548445,4.02221568151808,4.4875580885171,3.42170391175441,3.03266056442574,110.361771589543,0.305453303930304,0.38399474589631,0.382967137068244,0.369593415809714,577.778694280213,2093.168220085,50.2817079000081,3.6822693923023,5.32473461313172
"PP_Tapuri_45_Alchornea brittonii","MDP0600","MDP0600.mzXML","alcbri","PP_Tapuri_45","Alchornea brittonii","Euphorbiaceae","Alchornea","PP_Tapuri_45_Alchornea brittonii","PP_Tapuri_45","Alchornea brittonii",3,368.91703943709,46.3190767497374,12.0639542703512,3.62339698186728,16.2641445324121,28.4924975510531,12.6749483518924,4.61206133503192,2.77592238656279,2.16190445518817,2.69925348316364,126.796694855508,0.350069288142655,0.343539553981804,0.342311071526996,0.348714742769264,603.327513466485,2422.32335771537,45.8236290868568,3.88973955660549,6.32141657417021
"PP_Tapuri_45_Miconia brittonii","MDP0613","MDP0613.mzXML","mic1bri","PP_Tapuri_45","Miconia brittonii","Melastomataceae","Miconia","PP_Tapuri_45_Miconia brittonii","PP_Tapuri_45","Miconia brittonii",23,375.129348612766,46.4720501118396,12.2806693051654,3.16036654864507,15.8894117952043,29.1894157696042,12.8203878952613,3.9671267618659,3.03632724271807,2.45104936755525,2.70630770899642,135.824267839227,0.36526266859099,0.256891088132779,0.25622806168352,0.406582640176189,579.441719521597,2179.18279248891,47.9990041190218,4.61263591712772,6.50471913815135
"PP_Tapuri_45_Persea AF-15646","MDP0623","MDP0623.mzXML","per6AF15646","PP_Tapuri_45","Persea AF-15646","Lauraceae","Persea","PP_Tapuri_45_Persea AF-15646",NA,NA,38,370.963124703059,47.4496711425716,11.4333906676279,3.5192820547067,14.2336869423132,28.8772151610601,11.8763416133499,4.2502229246092,3.00487179832628,2.59557557105985,2.81337807052631,121.857316521559,0.33216988678248,0.297511338302933,0.296420598806193,0.37525948604563,594.935852274993,2197.78279003025,47.2705524185984,3.96708600828477,5.90417033172317
"PP_Tapuri_45_Ruagea ovalis","MDP0626","MDP0626.mzXML","ruaova","PP_Tapuri_45","Ruagea ovalis","Meliaceae","Ruagea","PP_Tapuri_45_Ruagea ovalis","PP_Tapuri_45","Ruagea ovalis",4,350.850964215384,45.6564742589535,10.6495092943132,4.55953335342103,14.3871059944058,27.0215408865547,11.225666657459,4.94998224021684,3.35102021856111,2.87261010731956,2.74787736049506,110.777589562474,0.324926546184723,0.292996694977537,0.291451136284602,0.364285643236062,547.657255786407,2003.72181851,43.0918846827029,3.36764423927393,5.44640430330359
"PP_Tapuri_45_Myrsine AM-3700","MDP0616","MDP0616.mzXML","myr8AM3700","PP_Tapuri_45","Myrsine AM-3700","Primulaceae","Myrsine","PP_Tapuri_45_Myrsine AM-3700",NA,NA,11,387.080292615787,52.5051192882282,9.70902476828337,5.107364802454,15.1803205078768,29.9938214284653,10.164432014088,5.01596526460437,4.29054745145613,3.60517306129976,3.06309572375788,112.988120049791,0.301448943615709,0.319870338385774,0.319488878229232,0.349416657604086,643.448221144758,2430.65524964604,49.405746696477,3.37798895428182,5.49283901752337
