"","filename","ATTRIBUTE_CollectionNumber","ATTRIBUTE_Family","ATTRIBUTE_Genus","ATTRIBUTE_Species","ATTRIBUTE_Genus_species","ATTRIBUTE_SpeciesCode","ATTRIBUTE_Latitude","ATTRIBUTE_Longitude"
"1907","MD01980.mzXML","LC-6191","Moraceae","Pseudolmedia","laevigata","Pseudolmedia_laevigata","pse2lae1",-14.1892,-68.3339
"1908","MD01981.mzXML","LC-6190","Linaceae","Roucheria","laxiflora","Roucheria_laxiflora","rou1lax",-14.1892,-68.3339
"1909","MD01982.mzXML","LC-6189","Simaroubaceae","Simarouba","amara","Simarouba_amara","sim1ama",-14.1892,-68.3339
"1910","MD01983.mzXML","LC-6153","Sapotaceae","Pouteria","baehniana","Pouteria_baehniana","pou3bae",-14.1892,-68.3339
"1911","MD01984.mzXML","LC-6162","Rubiaceae","Ferdinandusa","chlorantha","Ferdinandusa_chlorantha","ferchl",-14.1892,-68.3339
"1912","MD01985.mzXML","LC-6152","Rubiaceae","Ferdinandusa","chlorantha","Ferdinandusa_chlorantha","ferchl",-14.1892,-68.3339
"1913","MD01986.mzXML","LC-6151","Euphorbiaceae","Mabea","anadena","Mabea_anadena","mabana",-14.1892,-68.3339
"1914","MD01987.mzXML","LC-6156","Moraceae","Helicostylis","tomentosa","Helicostylis_tomentosa","hel2tom",-14.1892,-68.3339
"1915","MD01988.mzXML","LC-6150","Sapotaceae","Pouteria","baehniana","Pouteria_baehniana","pou3bae",-14.1892,-68.3339
"1916","MD01989.mzXML","LC-6155","Clusiaceae","Tovomita","obovata","Tovomita_obovata","tovobo",-14.1892,-68.3339
"1917","MD01990.mzXML","LC-6154","Sapotaceae","Pouteria","baehniana","Pouteria_baehniana","pou3bae",-14.1892,-68.3339
"1918","MD01991.mzXML","LC-6062","Myristicaceae","Virola","peruviana","Virola_peruviana","virper",-14.1892,-68.3339
"1919","MD01992.mzXML","LC-6135","Euphorbiaceae","Hevea","guianensis","Hevea_guianensis","hevgui",-14.1892,-68.3339
"1920","MD01993.mzXML","LC-6166","Fabaceae","Diplotropis","peruviana","Diplotropis_peruviana","dip4per",-14.1892,-68.3339
"1921","MD01994.mzXML","LC-6067","Rubiaceae","Condaminea","corymbosa","Condaminea_corymbosa","con1cor",-14.1892,-68.3339
"1922","MD01995.mzXML","LC-6064","Calophyllaceae","Calophyllum","brasiliense","Calophyllum_brasiliense","cal5bra",-14.1892,-68.3339
"1923","MD01996.mzXML","LC-6163","Anacardiaceae","Tapirira","guianensis","Tapirira_guianensis","tap1gui",-14.1892,-68.3339
"1924","MD01997.mzXML","LC-6065","Moraceae","Pseudolmedia","laevigata","Pseudolmedia_laevigata","pse2lae1",-14.1892,-68.3339
"1925","MD01998.mzXML","LC-6138","Chrysobalanaceae","Licania","boliviensis","Licania_boliviensis","lic1bol",-14.1892,-68.3339
